archivo,estado,calidad,riesgo_principal,requiere_codigo,reemplaza_fase_anterior,prioridad,siguiente_accion
../reestructura_blueprints/README_REESTRUCTURA.md,listo,blueprint rector,"uso indebido de historicos como verdad primaria",no,no,alta,"leer antes de cualquier fase"
../reestructura_blueprints/00_resumen_ejecutivo_reestructura.md,listo,blueprint ejecutable,"mantener scroll largo como experiencia primaria",si,transversal,alta,"usar como contrato de producto"
../reestructura_blueprints/01_mapa_experiencia_usuario.md,listo,blueprint ejecutable,"tabs decorativos sin cambio de flujo o sin entrada empresarial",si,transversal,alta,"implementar PortalEntry + CityEntry + CircularityBaseline + DecisionModuleShell"
../reestructura_blueprints/02_modelo_fases_institucionales.md,listo,blueprint ejecutable,"fases narrativas sin evidencia",si,legal/operacion,alta,"conectar fases a datos y documentos"
../reestructura_blueprints/03_marco_legal_expositivo.md,listo,blueprint ejecutable,"confundir propuesta con dictamen u oficial",si,fase legal,critica,"implementar LegalStatus por municipio"
../reestructura_blueprints/04_problema_rsu_y_educacion.md,listo,blueprint ejecutable,"lenguaje tecnico que ciudadano no entiende",si,fase educacion,alta,"crear calculadora domestica"
../reestructura_blueprints/05_macrogeneradores_y_grandes_generadores.md,listo,blueprint ejecutable,"double counting con RSU domiciliario o tratar residuos regulados como RSU",si,fase macros,alta,"conectar macros a mercado infraestructura proveedores y portal empresarial"
../reestructura_blueprints/06_implementacion_espacio_tiempo.md,listo,blueprint ejecutable,"horizonte como slider aislado",si,fase horizonte,alta,"implementar timeline territorial"
../reestructura_blueprints/07_infraestructura_centros_acopio.md,listo,blueprint ejecutable,"centros sin municipio/zona/capacidad real",si,fase centros,alta,"crear InfrastructurePlan"
../reestructura_blueprints/08_logistica_operativa_per.md,listo,blueprint ejecutable,"confundir advertencia con multa",si,fase operaciones,critica,"reforzar gates legales"
../reestructura_blueprints/09_motor_financiero_roi.md,listo,blueprint ejecutable,"mezclar negocios y externalidades",si,fase finanzas,critica,"separar BusinessCase"
../reestructura_blueprints/10_impacto_ambiental_y_economico.md,listo,blueprint ejecutable,"cifras grandes sin evidencia",si,fase impacto,alta,"crear ImpactKPI trazable"
../reestructura_blueprints/11_viabilidad_politica.md,listo,blueprint ejecutable,"score politico caja negra",si,fase score,media,"descomponer componentes"
../reestructura_blueprints/12_causalidad_y_trazabilidad.md,listo,blueprint ejecutable,"grafo tecnico inutil para decision",si,fase reasoning,critica,"crear trazabilidad humana"
../reestructura_blueprints/13_comparacion_escenarios.md,listo,blueprint ejecutable,"comparar escenarios sin supuestos",si,fase escenarios,alta,"guardar proveniencia por escenario"
../reestructura_blueprints/14_exportacion_documental.md,listo,blueprint ejecutable,"salidas txt o docs sin oficialidad",si,fase exportacion,critica,"consolidar ProfessionalPackage"
../reestructura_blueprints/15_backlog_fases_11_a_15.md,listo,blueprint ejecutable,"bola de nieve sin contratos o sin dos puertas de producto",si,roadmap nuevo,critica,"usar como orden de implementacion incluyendo baseline y portal empresarial"
../reestructura_blueprints/16_roadmap_granular_10_1_a_17.md,listo,contrato operativo,"cierres ambiguos sin prueba de solucion",si,roadmap granular,critica,"ejecutar una subfase por iteracion con API UI tests exportacion o reporte"
../reestructura_blueprints/17_gobernanza_calidad_riesgo_y_dod.md,listo,regla de aceptacion,"aceptar entregas sin DoD RACI gobernanza datos QA seguridad o riesgo circular",si,gobernanza calidad,critica,"usar como auditoria obligatoria antes de cerrar subfases"
