subfase,descripcion,agente_asignado,estado,archivos_permitidos,archivos_prohibidos,dependencias,criterio_cierre,evidencia_requerida,resultado_auditoria,siguiente_accion
10.1,"Entrada del portal, CityContext y baseline RSU actual estimada",CODEX,auditado,"backend/app/city/**; backend/tests/test_fase10_1_portal_city_baseline.py; frontend/src/components/simulator/PortalEntrySelector.tsx; frontend/src/components/simulator/CityFirstSelector.tsx; frontend/src/components/simulator/CircularityBaselineCard.tsx; frontend/src/app/simulator/page.tsx; frontend/src/store/simulatorStore.ts; frontend/src/types/index.ts; frontend/src/lib/api.ts","backend/app/services/package_store.py; backend/app/routers/generate_plan.py; backend/app/export/**; backend/app/legal/** salvo lectura; blueprints 00-17","DataProvenance; catalogo ZM; legal municipal solo lectura","PortalEntry cambia journey real; CityContext hidrata ciudad/ZM sin mezclar municipio; baseline aparece antes de metas y nunca como oficial; estados loading/empty/error/bloqueado visibles","Tests backend 10.1; type-check frontend; evidencia de endpoints /city/options /city/{id}/context /city/{id}/baseline /city/journey/steps; captura o descripcion UI de ambos journeys","aprobado_con_observaciones","10.1 cerrada para avance lineal; siguiente recomendada 11.0 ingesta de fuentes legales oficiales antes de 11.1; 10.2 puede esperar si se prioriza datos legales recientes"
11.0,"Ingesta de fuentes legales oficiales por municipio",CODEX,auditado,"backend/app/legal/**; backend/app/national/**; backend/tests/test_fase11_0_legal_source_ingest.py; opcional frontend solo si existe vista de fuentes legales","frontend/src/store/simulatorStore.ts salvo contrato estrictamente necesario; frontend/src/app/simulator/page.tsx; backend/app/city/**; exportacion; package_store; blueprints 00-17","10.1 y 10.2 auditadas; prerrequisito directo de 11.1","Fuente legal por municipio con URL oficial/descarga, retrieved_at, http_status, content_type, sha256_bytes cuando haya archivo, estado de validacion y accion siguiente; descarga exitosa no marca vigencia validada","Tests de fuente oficial por municipio; ZM no desbloquea municipio; checksum de bytes; falla de descarga conserva estado bloqueado/pendiente; no se presenta como dictamen u oficial","aprobado_con_observaciones","Dar luz verde a 11.1 legal municipal por municipio; mantener 11.0 como manifest/proveniencia no como validacion juridica"
16.2,"Seguridad de documentos, descargas y datos: package_id, filenames, path traversal, acceso",sin_asignar,pendiente_lineal,"backend/app/services/package_store.py; backend/app/routers/generate_plan.py; backend/app/export/package_renderer.py; backend/tests/test_fase10_release_candidate.py; backend/tests/test_fase3c.py; backend/tests/test_fase4_export_profesional.py; backend/tests/test_fase16_2_package_security.py","frontend/src/types/index.ts; frontend/src/store/simulatorStore.ts; frontend/src/lib/api.ts; frontend/src/app/simulator/page.tsx; backend/app/city/**; blueprints 00-17","Esperar cierre auditado de 10.1 por decision de ejecucion lineal","package_id malicioso falla; descargas no leen fuera de PACKAGES_DIR; ZIP no incluye rutas externas; filenames se sanitizan; errores no filtran paths internos sensibles","Tests de path traversal; tests de package_id invalido; tests ZIP sin rutas externas; prueba manual de endpoints 404/422 seguros; reporte de cambios","no_iniciado","No ejecutar hasta que 10.1 quede auditada"
10.2,"Navegacion modular y DecisionModuleShell",CODEX,auditado,"frontend/src/components/simulator/DecisionModuleShell.tsx; frontend/src/app/simulator/page.tsx; frontend/src/store/simulatorStore.ts; frontend/src/types/index.ts; backend/app/city/**; backend/tests/test_fase10_1_portal_city_baseline.py","backend/app/legal/**; backend/app/export/**; backend/app/services/package_store.py; blueprints 00-17","10.1 auditada y estable","page.tsx deja de ser experiencia primaria S1-S20; cada modulo muestra decision/evidencia/bloqueo/siguiente accion","pytest backend/tests/test_fase10_1_portal_city_baseline.py; type-check frontend; inspeccion DecisionModuleShell y render modular","aprobado_con_observaciones","Dar luz verde a 11.0 como siguiente subfase numerica; 11.1 depende de 11.0 para fuentes legales recientes"
11.1,"Legal municipal por municipio",CODEX,auditado,"backend/app/legal/**; backend/tests/test_legal.py; frontend/src/components/simulator/DiagnosticoJuridico.tsx","frontend/src/store/simulatorStore.ts salvo necesidad auditada; backend/app/city/**","11.0 auditada; legal municipal usa manifest/proveniencia sin asumir validacion juridica","ZM nunca desbloquea municipio; cada municipio tiene fuente/estado independiente; municipio sin fuente queda pendiente_validacion","test_legal.py; test_fase11_0_legal_source_ingest.py; revision de lenguaje de oficialidad","aprobado_con_observaciones","11.1 cerrada; 11.2 ejecutada y auditada como propuestas expositivas/ruta de aprobacion; avanzar a 12.1"
11.2,"Propuestas expositivas y ruta de aprobacion con tecnica reglamentaria municipal",CODEX,auditado,"backend/app/legal/schemas.py; backend/app/legal/regulatory_structure.py; backend/app/legal/router.py; backend/tests/test_fase11_2_normative_proposals.py","frontend/src/store/simulatorStore.ts; frontend/src/app/simulator/page.tsx; backend/app/city/**; backend/app/export/**; package_store; generate_plan; blueprints 00-17","11.0 y 11.1 auditadas; requiere validacion juridica externa para uso real","Mapa de insercion municipal expositivo; Bis/Ter/Quater, lineamiento tecnico, anexo tecnico y transitorios; ZM bloqueada; sanciones/documento definitivo bloqueados","test_fase11_2_normative_proposals.py; test_legal.py; test_fase11_0_legal_source_ingest.py; type-check frontend","aprobado_con_observaciones","Dar luz verde a 12.1 educacion ciudadana y calculadora domestica con texto de ayuda en graficas y anexo de calculos"
12.1,"Educacion ciudadana y calculadora domestica",CODEX,auditado,"backend/app/education/**; backend/tests/test_fase12_1_educacion_ciudadana.py; frontend/src/components/simulator/EducacionCiudadana.tsx; frontend/src/lib/api.ts; frontend/src/types/index.ts; frontend/src/app/simulator/page.tsx; backend/app/main.py","backend/app/legal/** salvo lectura; backend/app/export/**; package_store; generate_plan; blueprints 00-17","11.2 auditada; DecisionModuleShell 10.2 activo","Calculadora domestica con recomendaciones por predio, formula, fuente, unidad, confianza, texto de ayuda, estados loading/empty/error/bloqueado y anexo de calculos","test_fase12_1_educacion_ciudadana.py; regresion 10.1; type-check frontend; revision de lenguaje sin multa/sancion","aprobado_con_observaciones","Dar luz verde a 12.2 implementacion espacio-tiempo; mantener regla de texto de ayuda y anexo para calculos/graficas"
12.2,"Implementacion espacio-tiempo y ruta territorial por oleadas",CODEX,auditado,"backend/app/implementation/**; backend/tests/test_fase12_2_implementacion_espacio_tiempo.py; frontend/src/components/simulator/ImplementacionEspacioTiempo.tsx; frontend/src/lib/api.ts; frontend/src/types/index.ts","backend/app/legal/**; backend/app/export/**; package_store; generate_plan; blueprints 00-17","12.1 auditada; regla transversal de texto de ayuda y anexo de calculos","Contrato API y UI producen estados ready/warning/blocked coherentes; municipios vacios devuelven bloqueo de dominio; anexo y help text visibles","pytest 12.2; regresion 12.1/12.2/10.1; type-check frontend; smoke API con municipios vacios; revision de lenguaje legal/regulado","aprobado_con_observaciones","Dar luz verde a 12.3; mantener regla de calculos, fuentes, texto de ayuda y bloqueos observables"
12.3,"Operacion PER y bitacora operativa mensual",CODEX,auditado,"backend/app/operations/per.py; backend/app/operations/per_schemas.py; backend/app/operations/router.py; backend/tests/test_fase12_3_operacion_per_bitacora.py; frontend/src/components/simulator/OperacionPERBitacora.tsx; frontend/src/lib/api.ts; frontend/src/types/index.ts; frontend/src/app/simulator/page.tsx","backend/app/legal/**; backend/app/export/**; package_store; generate_plan; ClaimLedger; blueprints 00-17; fases 12.4+","12.2 auditada; no mezclar PER con sanciones","PER tiene rutas y bitacora con municipio, zona, frecuencia, unidad, responsable, evidencia no vacia, fecha y accion siguiente; estados ready/warning/blocked observables; anexo y help text","pytest 12.3; regresion 10.1/12.1/12.2/12.3; type-check frontend; smoke API caso feliz y evidencia vacia; revision de lenguaje legal/regulado","aprobado_con_observaciones","Dar luz verde a 12.4; mantener compuerta legal estricta y distinguir advertencia educativa, inspeccion, sancion propuesta y documento oficial"
15.1,"Exportacion documental profesional con manifest, fuentes y ClaimLedger",sin_asignar,bloqueado,"backend/app/agents/**; backend/app/export/**; backend/app/services/package_store.py; backend/routers/generate_plan.py","frontend 10.1; backend/app/city/**","Depende de ClaimLedger y seguridad 16.2 si hay descarga","ZIP profesional con manifest/fuentes/ClaimLedger; docs sin oficialidad o sin ClaimLedger bloquean","Tests export y render; inspeccion ZIP","rechazado_previo","Reabrir despues de 16.2"
